POBEDNIK: Crveni, COVEK  |  GUBITNIK: Plavi, RL  |  BROJ_POTEZA: 16
POBEDNIK: Crveni, COVEK  |  GUBITNIK: Plavi, MINI_MAX  |  BROJ_POTEZA: 9
POBEDNIK: Crveni, MINI_MAX  |  GUBITNIK: Plavi, RL  |  BROJ_POTEZA: 28
POBEDNIK: Plavi, MINI_MAX  |  GUBITNIK: Crveni, RL  |  BROJ_POTEZA: 60
POBEDNIK: Crveni, COVEK  |  GUBITNIK: Plavi, MINI_MAX  |  BROJ_POTEZA: 9
POBEDNIK: Crveni, COVEK  |  GUBITNIK: Plavi, MINI_MAX  |  BROJ_POTEZA: 30
POBEDNIK: Crveni, RL  |  GUBITNIK: Plavi, MINI_MAX  |  BROJ_POTEZA: 33
POBEDNIK: Crveni, RL  |  GUBITNIK: Plavi, MINI_MAX  |  BROJ_POTEZA: 44
POBEDNIK: Crveni, RL  |  GUBITNIK: Plavi, MINI_MAX  |  BROJ_POTEZA: 26
